"PCON11CD","Total_Population","Total_Households","Total_Dwellings","Total_Household_Spaces","Total_Population_16_and_over","Total_Population_16_to_74","Total_Pop_No_NI_Students_16_to_74","Total_Employment_16_to_74","Total_Pop_in_Housesholds_16_and_over","Total_Population_3_and_over","k001","k002","k003","k004","k005","k006","k007","k008","k009","k010","k011","k012","k013","k014","k015","k016","k017","k018","k019","k020","k021","k022","k023","k024","k025","k026","k027","k028","k029","k030","k031","k032","k033","k034","k035","k036","k037","k038","k039","k040","k041","k042","k043","k044","k045","k046","k047","k048","k049","k050","k051","k052","k053","k054","k055","k056","k057","k058","k059","k060"
"E14000813",100121,40149,41778,41799,80459,73481,73481,52183,79137,96737,5760,12506,25706,28859,15327,567,7164.2474801,1337,21988,44714,8852,93711,1779,1502,237,82,1351,1047,412,93101,1500,770,453,8417,4160,106,15474,13843,9135,2802,30184,4475,4913,1338,23676.8827431,10646,28265,10317,24931,5837,21109,4260,39799,4488,2021,14255,37928,464,5078,4585,565,8091,2551,1996,6178,2647,2372,4094,6061,4964
"E14000814",84158,36039,37435,37440,69229,61007,61007,41751,68531,81570,4373,9487,20419,23876,16246,746,10315.5071679,716,18305,37810,7666,81287,1044,490,110,9,603,426,189,81088,624,443,241,7539,3542,14,16754,13672,4852,2143,29289,2638,3762,875,28164.5377049,10268,22794,8657,21646,3703,14938,3093,32746,3888,1755,12281,29470,153,3278,6656,713,6109,1913,1778,3845,1534,1501,2248,4874,5343
"E14000815",80793,33922,34748,34759,66659,58107,58107,39716,66050,78546,3899,9115,17118,24130,16662,799,8794.5826546,783,16637,37354,7580,79184,684,180,40,98,418,109,80,76962,979,522,119,6700,3609,2,17584,6724,5667,4498,26597,3340,3623,1338,25181.68304033,9756,24943,8501,18035,3560,15975,1657,31187,4303,1464,13067,26649,217,3529,4489,552,6396,1422,1842,3430,2799,1549,2439,4076,4849
"E14000816",99840,41811,43804,43818,82082,71486,71486,46618,79425,96584,5352,11067,22790,27366,21067,1102,6969.9920923,3047,21152,44215,9991,97675,984,210,38,52,429,365,87,94492,1511,1328,639,9237,3602,3,21686,13221,6009,2707,30504,4915,5717,1398,35462.66770855,10859,29536,9346,17502,3879,17724,1970,35225,6304,2287,14412,32206,1847,4254,4896,494,7821,1981,1984,3190,2358,1920,3222,4441,6016
"E14000817",105781,43704,44689,44717,85379,76178,76178,55267,84011,101983,6455,12647,28247,28780,17562,1122,12600.555204,1562,24342,45729,9378,100033,1522,1257,117,367,1544,676,265,95688,1940,1248,390,8462,4291,11,14775,12769,7906,9227,32646,4735,5842,2638,24982.85865338,10278,29202,11461,28583,4438,18557,8929,34459,7923,1897,15998,39269,283,4200,3148,571,7443,3393,2415,7058,5247,3124,2483,5334,7533
"E14000818",94454,39645,41580,41615,78034,69059,69059,47326,76707,91633,4814,10412,22298,27591,18385,930,8441.0189284,1329,20264,42691,9092,92226,829,423,83,92,440,211,150,89222,791,2209,651,8462,3947,3,16283,12498,7266,4812,28832,5957,4341,1710,30999.35213571,10543,25816,9043,21499,3951,18870,1767,36461,5546,2239,14106,33220,1118,3732,6006,638,8472,1979,2361,4506,2011,2289,2721,4183,5169
"E14000819",93865,38546,40730,40936,74523,68251,68251,35117,72676,89703,6720,11385,24594,21807,12590,492,20457.3042067,1854,32068,28412,8613,79217,1836,1223,6499,210,2008,1494,1378,84262,728,1265,1974,5171,4217,679,2369,16609,15966,5966,20615,9272,7940,3128,35498.84793175,9236,24132,10004,12564,9277,6872,4721,22699,6876,5715,12836,22281,55,3149,2798,525,6052,2160,2706,2090,1266,1794,1875,3375,5713
"E14000820",92826,39976,41546,41586,75741,67850,67850,39765,74705,89669,5368,10587,21871,26741,16473,765,12686.9189212,1037,23384,37547,8704,90533,784,282,369,54,366,271,167,90497,505,267,154,7500,4359,8,10620,14953,11330,4645,27191,7632,4647,1530,36686.93833601,10641,26263,9615,16933,4437,12932,3397,30152,4870,3995,12915,26850,213,4220,3795,687,5974,1759,2133,2816,1398,1547,2567,4269,6578
"E14000821",121798,48572,50693,50727,95927,89833,89833,63622,95301,115982,9538,14792,39309,30297,13056,617,18281.7495863,632,32774,45841,12222,97387,3750,3402,2311,556,4800,8909,683,98977,2767,3637,2048,9735,4533,36,13664,13161,14612,9231,30714,8215,9195,4908,29728.31939659,10913,33914,11061,28285,6283,18427,7170,45108,7882,4309,15469,48153,188,3610,5093,417,13086,4168,3063,8335,3970,3586,2897,6677,5684
"E14000822",127023,50012,51319,51321,97502,91552,91552,64161,96055,120748,10370,17481,39835,30912,13276,562,16958.1073851,1474,31829,47442,12997,101707,4485,4704,1540,1433,4036,8222,896,105752,2783,2607,1653,9248,4505,15,15117,15475,13394,7316,32184,9548,7871,4525,31323.02891593,10884,35681,11144,26306,6149,18868,7444,47184,6306,4331,16156,48005,88,3803,5132,466,13279,4180,2699,8336,4257,3347,2845,6724,6261
"E14000823",103298,38997,39977,40063,81867,76522,76522,50976,81217,98512,7733,12390,35546,22519,10791,456,32250.93395,659,33315,35424,8859,55508,5325,4536,5054,1484,11363,17977,2051,63051,3136,7479,4813,4947,4348,149,1621,6942,17558,13935,22295,7862,8477,7699,25334.44688191,8942,23409,8650,23110,8507,7387,25810,18305,5374,3964,14386,36590,18,4821,1640,358,8315,3194,3379,5622,2863,3701,2833,4355,6854
"E14000824",95033,39589,40982,40996,77373,67847,67847,47028,75824,92111,5063,11357,21653,28026,18461,1023,6769.3697437,1686,20347,43180,8195,90812,1328,636,146,201,1100,417,393,86117,1666,1095,326,7659,3604,13,17055,10990,4861,7264,29513,4681,4781,2424,24406.82486977,9882,23444,8839,29770,4102,20409,6473,30070,5526,1661,13957,33071,385,4082,2450,386,6002,1814,2101,8470,4053,2735,2129,4859,4605
"E14000825",87683,39036,41198,41319,71916,62983,62983,39776,70709,84729,4903,9835,20369,24135,17888,868,14373.1165395,1284,20772,35089,9659,85887,714,163,59,86,429,243,102,83715,645,1546,577,7122,3378,64,7796,17384,8542,7128,28115,3814,6620,1797,38193.97979001,10191,25106,9109,16950,3978,11872,3170,28317,6302,2424,13055,26721,449,3343,2612,1750,6487,2286,2642,2267,1233,1802,2059,4502,6343
"E14000826",96493,41718,42930,42935,78629,72042,72042,50685,77811,92915,5837,10850,28007,26349,14251,557,11924.0187684,819,24322,39414,9601,92023,1199,1112,521,20,734,597,287,92664,602,732,399,9099,3944,6,10737,16817,11019,4311,30583,5439,5222,2183,31364.80593156,10098,28852,9653,18020,3965,14557,5952,38378,4369,2615,13311,37374,114,4744,5208,765,9375,2482,1946,4496,3844,2308,3149,4363,5918
"E14000827",92346,38895,40152,40182,76247,66743,66743,45777,74905,89403,4944,9976,21076,26862,18424,986,9326.4142371,1434,19689,41605,9114,89920,873,273,21,136,426,451,246,87536,1120,599,177,8078,3894,1,17567,10448,7244,4360,29449,4555,4419,1774,28363.43144413,10471,28266,9734,19688,3506,18269,2384,35056,5423,1924,14297,31480,369,4069,4312,869,6777,2551,2774,4513,2275,2098,2925,4178,5729
"E14000828",84116,37944,40134,40150,71267,58055,58055,37216,69878,81925,3648,8201,15653,24088,23067,1665,8025.6662615,1537,16465,38880,8458,82240,747,199,13,59,538,161,159,79025,1124,702,180,7194,3089,7,18843,8267,5485,6815,28638,3885,4874,1662,31782.12522134,10276,23973,8005,20496,3002,16245,1470,27163,5254,1364,12723,24493,494,3470,3112,282,5889,1439,2469,3788,2142,1773,1512,3582,5141
"E14000829",98937,41691,43629,43648,81306,72872,72872,47986,78223,95851,5295,11171,23783,28900,18272,824,8220.9058939,3178,22334,42700,10188,95893,1179,356,256,81,456,545,171,93787,892,1972,717,9076,3703,45,19267,13183,7111,3858,30543,5161,5430,1314,33661.86727816,10751,26987,9850,22751,4381,17252,2321,33962,8065,2404,14642,33344,1015,4180,5335,948,7962,2044,2503,4518,1571,1844,3463,4630,5684
"E14000830",107491,43863,45651,45704,85686,78097,78097,57138,83994,103152,7199,13137,29534,29388,15531,808,10625.4573075,2457,25099,45573,9717,102783,1445,1056,267,132,898,670,240,98365,1715,1659,522,9452,3953,11,15070,14046,8755,7316,29818,6684,6569,2322,24664.04542689,9614,28746,10414,27806,4395,21066,4339,39941,8333,2354,14730,42408,655,4305,4785,861,9004,2020,2702,11164,2617,2997,3100,5358,4505
"E14000831",93693,38239,40170,40219,74997,69266,69266,36664,71816,89552,6739,10932,27335,19778,10772,648,21602.3655541,3206,34603,27516,8050,69538,1881,2783,4939,3811,5722,2785,2234,73791,1310,2139,3123,4975,3125,1227,2250,13718,9797,14442,16554,13518,7630,4570,33296.58135457,8214,19896,10186,19961,13267,5922,10561,18573,6322,4163,12540,24124,38,2146,2019,381,5441,2012,3880,3348,1584,2010,2140,3723,6097
"E14000832",95589,39548,41028,41111,83208,77769,77769,41028,78386,92942,4196,7379,24336,18804,10334,557,26757.0563386,4850,48859,22203,7789,84753,1526,1337,997,500,3879,1752,845,84275,1554,1193,1109,5590,2941,3315,2221,9691,11786,17406,16338,12324,10326,4188,32482.95788128,7559,18852,21057,23396,24456,6686,11249,18999,9427,3629,14206,26822,56,2284,2275,399,6069,1424,4095,4519,1693,1878,2943,4674,6343
"E14000833",90895,39366,40563,40564,73998,65829,65829,41643,73117,87486,5587,10212,23249,24503,15709,699,14941.7409634,909,24571,34977,8423,85242,872,952,428,381,1378,623,1019,85474,816,460,523,6713,4206,164,4976,17645,10466,7468,25552,9008,4362,1884,35505.97448449,10037,24475,8416,19716,5367,9754,9315,26498,4403,2860,12017,29626,59,3414,3021,448,6269,2084,2339,3910,2244,1844,3434,4265,6354
"E14000834",88945,37774,38955,38989,73880,66195,66195,40665,69925,86199,4602,9489,22096,22928,15018,684,12305.526034,3963,26486,33112,8422,83409,1194,848,461,145,1803,758,327,83832,666,702,492,6577,3899,423,7936,16390,9316,5327,25225,7894,4172,1781,35095.87792532,10258,23320,11357,16754,8818,12115,2801,31654,4778,2506,12188,28477,145,3316,4674,491,7735,1940,2055,2863,1604,1637,1797,4571,5927
"E14000835",85699,37397,40040,40129,71792,61692,61692,40058,69433,83237,4168,8702,18280,25045,18928,1224,10850.1230817,2434,19416,36248,9573,84190,620,138,14,68,477,99,93,82190,786,602,244,7474,3319,7,13610,9828,9108,7199,27640,3349,5975,1957,33839.29987354,10255,25723,8546,18309,3407,14246,2429,29102,5811,1874,13345,26713,423,3981,2674,627,7389,1669,2636,3104,1504,1659,2469,3789,6185
"E14000836",107195,46607,48550,48575,87327,79163,79163,49904,86457,103116,6733,11769,28427,28885,17098,770,15746.0843072,876,27693,41182,11666,104540,738,339,306,10,572,539,151,103467,533,1462,653,9333,4890,1,8407,22040,12213,5733,29647,11759,4791,2087,45998.33965521,11819,31484,9014,13077,4052,12877,5091,36811,6717,4020,13998,35906,162,4436,6878,1243,10061,3111,2479,2552,2400,2419,2524,3652,6057
"E14000837",87562,37449,44594,44655,72786,63370,63370,40258,70712,84769,4556,9130,19248,25267,19067,1098,5090.452614,2126,19563,37892,8973,86193,594,97,12,47,399,116,104,83832,783,968,325,7709,3316,14,20619,10557,7874,4994,25899,4708,6135,1922,34055.77404625,10235,26404,8819,16709,3429,15478,739,28149,6900,2015,13382,26876,2180,4167,3867,481,7165,1339,4030,2429,1030,1684,1735,3479,4541
"E14000838",93667,40001,44424,44559,77378,67507,67507,44754,75394,90661,5014,10087,20757,26605,19704,1104,9146.2791498,2075,21478,39986,9484,91742,785,215,67,78,475,158,147,89788,914,751,255,7979,3558,4,17113,9744,10011,7273,27654,4316,7341,1942,32283.43431435,10343,28108,9616,17732,3636,14620,1919,28130,10330,2052,15001,29753,1939,3863,4863,476,7669,1290,4375,2579,1208,1983,2510,4032,5850
"E14000839",95831,39709,41914,41933,78463,68416,68416,46900,76079,92869,5059,10994,20997,27273,19828,999,6530.0758744,3210,19496,44398,8709,93790,739,161,20,143,667,228,83,90252,1421,975,310,8778,3488,3,19527,10995,7065,3947,28809,4808,5349,1613,29594.63836023,10408,28271,9784,21588,3847,19519,1245,34578,7022,1692,14351,32549,1659,4529,4725,462,7174,1545,1896,3809,2276,1971,4008,5241,4930
"E14000840",86883,38680,40153,40153,71575,64703,64703,40075,70837,83949,4991,9280,21970,24734,15221,561,10646.5797018,739,21913,34987,8994,85684,407,207,81,50,319,68,67,85121,499,239,124,7274,4156,62,6377,14048,16985,2724,26009,7873,4430,1351,37624.91295003,10148,26195,8761,14448,3978,11454,4057,31134,3484,3075,11320,28755,110,3469,4886,839,6712,2053,2055,2351,1567,1669,3891,3519,5255
"E14000841",102716,42180,44065,44076,82266,74867,74867,53360,81498,98824,6485,12574,26946,29170,16148,643,8203.5611477,773,21930,45606,9591,96615,1956,1353,177,165,1017,1148,285,95911,1310,1059,477,9175,4032,5,15830,14416,9905,3479,31859,5350,4462,1451,25276.34777691,10758,29192,10094,24745,4425,21211,4683,40298,4645,2305,14516,38844,637,5155,5432,573,8656,2370,1820,6385,2557,2267,3421,5734,5529
"E14000842",112376,47618,49330,49371,92311,81726,81726,53332,90856,108571,6317,12354,28139,30509,21207,986,9261.767663,1473,25999,46907,11852,109217,1103,439,87,95,656,576,203,103253,1294,4720,1984,10099,4240,2,22238,14779,7738,4185,33537,6188,7188,2398,38131.77306542,12403,33819,9770,14664,4182,18609,2426,40712,7432,3395,14542,38790,1784,5275,7981,672,9145,2972,1807,3606,1765,3078,3173,4125,5793
"E14000843",90956,39572,40449,40449,75814,67313,67313,43065,75173,88423,4376,9587,21091,26715,18247,775,9472.2679893,683,20445,40385,8753,89198,742,286,62,48,305,205,110,88979,449,311,131,8120,4380,1,14529,17227,5612,2804,28260,7963,2999,1180,37268.67353224,11935,27001,9079,16830,3776,15419,3599,33974,3317,2529,13499,29566,339,4246,5595,517,7573,1918,1965,3265,1845,1647,2398,4104,5696
"E14000844",96089,37864,38960,38986,76694,69617,69617,50525,75138,92603,6014,12185,25129,27228,15256,687,8065.1437768,1667,19034,45372,7654,91747,1457,826,145,139,1111,426,238,87965,1834,856,251,8289,3509,0,18392,10046,6178,4031,29520,3215,4615,1356,20340.5298985,8659,24029,9893,29797,3885,21946,4562,36499,5036,1600,13469,37056,328,3584,3647,490,6876,2019,2155,10127,3180,2552,4105,4823,4217
"E14000845",95286,39375,40494,40506,76658,68562,68562,47934,75867,91924,5573,11786,23973,26833,16075,813,9253.2234817,853,21661,40999,8543,88269,1916,1881,172,143,1386,1163,356,88211,1276,894,448,7666,3878,6,11296,11904,10995,6080,26796,7694,4377,1960,26141.46019455,9747,26080,8819,23914,4327,17678,5599,33200,5583,2181,13687,34247,479,4065,5214,413,7952,1809,1760,6627,2737,2285,2488,4882,4816
"E14000846",87157,35815,36920,36934,71020,62537,62537,43030,69682,84368,4827,10137,19619,24901,16850,822,6903.419324,1431,19316,38831,7536,85031,864,218,43,35,556,255,155,83344,800,498,179,7083,3728,35,12353,12284,8301,3798,27652,4017,3620,1278,25810.19249474,9884,24817,8770,20288,4411,16820,2958,32219,4618,1659,14096,28934,474,4130,4191,637,6596,1593,1998,4558,2281,1845,2783,4565,5401
"E14000847",85985,36588,38852,38887,71706,62294,62294,41682,70257,83696,3966,9232,18032,25959,19177,979,4044.7510232,1634,18294,39670,7870,84754,495,145,30,7,342,140,72,81317,758,1841,675,7817,3460,8,20154,10190,5096,3086,26007,4209,5575,1340,31310.48730574,10193,22666,8369,21584,3387,17599,1010,29849,5937,1806,13089,28593,3035,3891,4806,341,6593,1219,1975,3329,1438,1791,2103,3993,5130
"E14000848",84645,38486,44762,44780,72650,60282,60282,35250,70575,82546,3488,7482,15317,25221,23706,1311,5220.92931,2298,17362,39176,8983,83512,513,90,5,56,275,139,55,81517,796,612,156,8286,3120,0,20275,12244,6852,5037,27386,4869,5470,1330,38340.96507189,10511,25402,7539,16436,2663,14335,1458,25003,5696,2031,12026,23224,1214,3276,3011,430,6095,1309,2881,2346,1402,1699,1544,3275,4780
"E14000849",104268,42986,44828,44845,85522,76081,76081,50777,82535,100922,5621,11810,24679,29029,19449,918,6934.6857981,3342,25043,44324,9485,102364,685,196,61,102,509,239,112,99719,900,1487,674,8785,4435,21,19672,14687,6529,3788,30405,5662,6233,1509,33480.78112369,11329,29788,10152,21296,4910,18740,1405,37355,8009,2751,15144,35633,2156,4303,6057,597,8238,2300,2666,3580,1357,2092,3460,5046,6729
"E14000850",98278,42037,43284,43305,80547,70582,70582,49299,79432,95110,5408,11102,22812,28535,19978,1049,11087.8083741,1122,19744,45658,8938,96047,949,320,67,87,486,175,147,93739,1002,717,155,8688,3758,13,17171,13069,6512,6204,33640,3249,4732,1464,29787.24451772,10873,27184,10022,27410,3853,20110,2502,37277,5761,1593,15380,33919,374,3867,3952,700,7529,2129,1913,6259,4002,2354,3307,4778,5795
"E14000851",107337,45218,46339,46354,85398,78406,78406,56168,85021,102766,7527,13069,32954,26278,14582,592,19507.094654,381,26382,42884,10874,99972,1914,1832,444,180,1440,1208,347,98065,1544,1698,707,9314,3767,10,10194,15331,13532,7180,31659,6717,6470,2484,31147.99018428,9805,34856,10333,17778,4232,16758,4878,42177,6951,3064,14328,41840,126,4505,6863,1178,10515,3585,2477,5418,4496,3143,2743,4090,4744
"E14000852",93505,40720,44073,44213,75852,65667,65667,39730,74121,90170,5419,10984,20939,25085,19256,1199,14515.3116033,1767,22409,35728,10753,90193,1222,489,85,76,751,464,225,88384,995,1066,546,7143,3455,33,12035,12492,8577,10039,27503,4737,7967,2900,39233.24101171,10793,27188,8545,14772,4170,12740,3999,28500,5060,3082,12873,26857,334,4145,2635,465,6720,1944,2032,2729,1639,1652,2119,4489,6807
"E14000853",102042,47228,48885,48893,84061,75995,75995,48978,83372,98344,6133,10627,28471,28195,16081,691,18316.5237278,692,28834,37323,11398,98608,875,589,162,159,981,499,169,98225,689,555,400,8647,4655,14,5003,19223,13448,11212,28414,12676,5751,2298,43397.74398816,11177,31497,10035,16945,4622,9739,10517,31497,5753,4243,13592,35386,57,4030,4302,635,7440,2429,2650,4138,2200,2378,5539,4153,6888
"E14000854",90034,37641,39051,39060,73716,66570,66570,44511,72874,86955,5083,10123,23153,25191,15700,627,10231.5104908,858,21906,37384,8708,85413,892,2173,93,36,603,518,306,86514,457,760,421,7351,4425,3,9591,16729,8636,3923,27561,5398,4250,1485,32693.60606101,10663,26867,8609,13592,3732,15036,2764,35321,4406,2692,12147,32364,315,3817,6140,713,7975,3838,2211,2906,1855,2188,2066,3826,4709
"E14000855",125061,51186,53029,53062,99854,91750,91750,65064,98695,120040,8177,15396,35701,33124,17202,757,14285.8159088,1167,29757,51665,12562,117212,2306,1370,634,24,1278,1807,430,112438,2567,3583,1396,10991,4653,12,21092,15970,10392,5481,35021,7145,8430,2339,36786.48012517,12234,36413,12730,25484,5128,22301,4657,48956,7655,3384,16761,48303,855,4741,7107,755,10591,2912,2692,6880,4037,3470,5484,5519,7135
"E14000856",92119,41135,43349,43375,76028,68240,68240,42845,74986,88948,5354,9672,23558,26433,16428,728,8618.59679,1052,22697,37415,9568,91099,447,107,39,40,266,70,51,89774,506,733,255,8154,4220,24,9462,14342,17667,1826,28884,6866,4830,1232,39302.94722018,10911,25973,9419,17892,3849,13555,2941,33393,4335,2867,11386,31459,565,3996,5655,615,6032,1906,2129,2661,1389,1560,3733,4247,6534
"E14000857",100986,41468,42504,42516,81415,73659,73659,52484,80348,97296,6183,12022,25179,29231,16599,808,9248.3776885,1414,21638,44602,9741,97700,1270,393,69,135,774,436,209,93361,2016,1285,401,9180,3757,4,14880,12064,10184,5230,28873,6756,5126,1613,26452.83711775,9994,29101,10423,23063,3907,19515,3644,37705,7408,2101,13973,38511,788,4130,6159,549,8376,1925,1981,6674,3871,2582,4035,4466,4565
"E14000858",93468,39128,40463,40472,75791,68556,68556,46291,75046,90276,5477,11063,24120,26426,15558,674,7777.1557383,771,21443,39888,8988,91187,881,520,16,20,518,205,121,90146,642,935,327,8370,3955,81,15704,14233,7347,2833,28662,5598,4411,1140,30262.84277621,10657,25053,9411,18402,4186,17398,1423,37412,4954,2361,12750,33541,429,4557,6757,727,8032,3599,2163,3642,1360,2062,1969,4576,4481
"E14000859",95124,41328,50691,50743,79408,68817,68817,43067,78356,92116,5040,9590,21580,26204,21271,983,8785.7018913,1070,21875,40803,10030,92208,893,578,108,26,793,353,165,87545,1300,3440,1583,8522,3710,9,17988,14472,8429,5761,28182,6239,6065,2317,37436.08962772,11143,27470,8265,15481,3670,14681,1844,31632,7264,2636,13396,29671,1143,4043,5816,490,7793,1638,2811,2165,1518,1896,1898,3597,6295
"E14000860",88566,35690,37201,37214,71075,64211,64211,45473,69152,85474,5249,11073,21621,25777,14733,654,6340.1340945,2148,17503,41102,7926,85762,980,211,35,67,856,504,151,82900,1493,591,169,8258,3147,12,14931,11521,7474,2837,26092,3962,5080,1261,22826.08833814,8968,24276,8982,22821,3663,18331,2088,33137,6004,1726,13039,32434,1004,3355,4199,709,6275,1787,2208,5681,2496,2108,5168,4366,4069
"E14000861",86192,35568,36692,36776,69378,63012,63012,41543,67182,82585,6002,9840,24052,20872,12366,708,16231.8345965,2214,25996,29733,8814,73411,2830,1828,701,1178,1299,4447,498,74175,1141,3375,1700,6037,3385,317,5323,12429,13877,5141,23706,5939,5506,2770,27064.42537,8554,23703,8933,14890,6846,10768,4095,29902,6208,2969,11945,29598,50,3276,4100,465,7787,3040,1942,2876,2639,2104,1887,3965,5667
"E14000862",93615,40469,41819,41943,75064,69607,69607,47400,73839,88989,7254,10251,29782,21791,11229,542,19944.410633,1249,29599,31009,10180,77148,3163,2496,676,2083,1765,5493,791,76547,1346,5862,2774,7319,3121,245,7628,10934,13157,10148,23111,8361,8459,4570,28184.20741537,8415,25432,8723,17139,5712,11381,4880,33328,7575,3609,12018,35382,57,3298,4534,591,9159,4260,2384,3574,2855,2705,2106,3582,6195
"E14000863",87352,38926,40198,40239,72306,63892,63892,42890,71182,84016,5378,8765,24584,21635,15986,718,15183.6452789,1127,24371,33259,9307,83361,1326,392,49,309,868,770,277,81268,858,1926,786,7589,3473,88,8342,15308,9867,6677,25463,7907,5221,1576,31816.17864647,8894,26901,8460,14313,3652,11174,3620,28370,9406,2669,13168,29722,140,3950,3843,462,8221,1947,2455,3077,3468,2026,2333,3365,5388
"E14000864",96670,44159,46424,46624,82062,74013,74013,45003,78030,93314,5494,8274,28304,20546,14038,979,19439.2547145,4059,38684,27831,10287,87015,2230,1553,224,298,2886,1540,924,84116,2048,2001,1068,7660,2858,1373,6582,9772,13713,16541,20209,13535,9895,3541,36622.82022215,8929,22168,13521,25162,13171,8774,4649,23187,15115,3359,14393,30610,141,2776,2785,314,7396,1400,3382,4567,3450,1980,2090,5848,6528
"E14000865",99302,42068,44091,44348,81868,77165,77165,42450,76311,95220,6444,10010,32457,18861,8961,473,29898.1293474,5666,45337,23429,9254,64376,7772,3061,8583,526,4489,8721,1774,75524,1921,4811,4234,5636,2761,1555,5243,11315,13212,14570,17056,11883,12479,6328,33413.68644889,8105,21062,14727,21281,16387,5818,11161,19947,9746,5190,13960,28490,93,2250,3136,841,7205,2039,3719,3788,1670,2699,2137,4743,5936
"E14000866",97145,41571,42839,42855,74528,68369,68369,38491,73799,92257,8086,13153,26955,22073,12497,621,19145.1831847,731,30964,27615,10590,77416,7058,1571,1535,142,1464,7487,472,86712,874,2077,1160,5799,4029,54,5775,18221,13216,5629,20411,15310,5215,3334,39657.05059622,9757,26182,7785,9897,5470,6315,9989,22479,5160,5713,12148,26343,38,3126,3733,814,7232,2406,2481,1935,1253,2476,1692,3108,6418
"E14000867",109233,42492,44264,44383,93708,86538,86538,42277,84179,105908,5429,9126,28339,19370,12468,532,29796.4027069,9545,52062,28672,7830,76906,5435,5269,6653,381,6365,5977,2247,85616,2168,2938,2726,5842,3136,3236,8389,11571,11226,13137,20186,10293,11404,6255,33421.18164171,9092,21423,23899,23697,29826,8291,8556,21865,10263,3872,14413,27864,66,2316,3397,684,7394,2146,3525,4033,1664,2217,1807,5182,5744
"E14000868",91086,38088,39267,39341,73254,67142,67142,44307,72736,87491,5890,10714,24435,24421,13598,508,13216.8670587,521,22929,36318,8962,83726,975,3816,455,25,1131,690,268,85348,596,1095,708,7198,4042,6,10099,12612,11582,4952,26860,5711,5147,1861,31241.73561172,10180,27033,8691,14181,4307,13733,2427,35049,5327,3202,12606,31701,138,2923,6062,671,8747,3589,1902,2919,1498,1953,2312,3973,5754
"E14000869",86168,34685,35584,35596,70213,61943,61943,42097,69561,83366,4814,9945,21363,22637,15293,790,15420.7968255,652,22654,35184,6843,76669,1727,1974,218,333,2251,2436,560,78447,808,1013,619,5239,4475,135,3357,16297,8560,7374,27919,2984,3523,2066,24022.14467018,9170,27057,8599,15885,5151,12166,15478,21866,3028,2100,11586,30511,31,4673,1754,449,5724,2250,1426,5351,4658,1942,3251,4369,4100
"E14000870",101601,41244,42982,42995,79287,72789,72789,44698,78417,97185,7361,13505,26889,25992,14160,667,18317.2688812,882,25733,37414,10267,82682,1910,456,11879,2293,929,1222,230,91951,616,847,2727,6804,4233,18,6622,12814,18249,5277,27315,8025,5336,2789,35842.35620378,11076,26811,9469,17162,5359,11884,5376,32385,5093,3753,12819,31879,76,3935,5158,561,8153,2441,2198,3254,1994,2006,2432,4597,6018
"E14000871",102616,39456,40645,40659,78342,71859,71859,41736,77643,97964,7935,14854,27873,23551,13706,631,20455.6113351,707,26193,36536,9460,71901,1796,1055,10664,13975,1532,1406,287,87635,710,814,5039,5635,4306,17,4082,14303,16634,5634,24994,9415,4501,3516,35396.10274966,10928,27083,8854,12822,6126,9152,5728,29326,5604,4274,13086,28650,43,3138,4795,478,8248,2568,3027,2495,1920,2090,2091,3732,5557
"E14000872",88607,36445,37389,37423,71396,63069,63069,41958,71255,85370,5436,10615,21058,24252,16702,658,12135.6260616,143,20241,38594,7334,79715,1922,1458,189,261,1848,2704,510,80408,1064,857,390,6056,4182,10,10501,14907,6631,5214,29350,3906,2876,1837,23552.69774259,9739,25287,8369,20262,4197,13871,14618,21621,3241,2157,12169,29789,100,3855,1686,310,5796,1869,1390,5875,5084,1980,2879,4264,4584
"E14000873",120705,43342,44480,44858,100681,94396,94396,55461,86899,115872,7730,11262,38675,21018,11872,681,22588.3885185,13909,55387,32316,8451,91558,4971,3865,4499,1626,6094,6514,1578,88735,5325,4283,2295,6112,3259,1570,3616,14522,12667,13943,20438,10452,11729,6262,26422.62512963,9311,20855,19156,38000,26164,9106,10929,21875,19852,3279,16480,38981,81,2476,3079,463,6732,2024,4113,7994,1116,2128,1789,11676,8969
"E14000874",105985,42869,44477,44580,87419,78609,78609,53709,82029,102421,5840,11356,29420,26993,16712,965,15553.1387983,6431,31494,42110,8378,95377,2396,1601,750,372,3105,1485,899,87689,4103,1993,899,8176,3744,332,11600,13457,9394,9722,29171,4988,7880,3277,26139.78064515,10348,22258,10234,37954,10674,15054,7837,29934,12185,1896,14721,38988,146,3541,3366,581,6632,1516,2340,9693,1597,1875,2723,11184,5759
"E14000875",89452,37348,39383,39387,71128,64440,64440,39324,70543,85498,6362,10822,23726,22985,13740,610,15933.7265333,606,22180,34312,9324,71437,946,236,15320,383,868,126,136,80121,674,1413,2561,6589,3445,3,5157,9004,22106,3043,25653,4333,6760,2067,34278.82742022,10246,23639,8914,14392,4368,10593,2809,28931,6064,3012,12008,27316,260,2860,8277,270,6885,1684,1879,2253,1490,1732,1749,3599,4902
"E14000876",87221,37846,39048,39050,72276,64531,64531,42638,71758,84620,4421,9444,21120,25728,16711,741,9635.1158884,521,19059,39812,7789,85204,699,218,153,29,312,399,207,85172,374,342,176,8373,3857,13,12303,15845,7635,3250,28808,5564,3082,1049,33651.14967368,10929,25123,8744,17700,3625,14531,4358,32848,3443,2082,12683,29955,365,4172,5051,568,6462,1804,1740,3338,2176,1587,2637,4517,6282
