"PCON11CD","Total_Population","Total_Households","Total_Dwellings","Total_Household_Spaces","Total_Population_16_and_over","Total_Population_16_to_74","Total_Pop_No_NI_Students_16_to_74","Total_Employment_16_to_74","Total_Pop_in_Housesholds_16_and_over","Total_Population_3_and_over","k001","k002","k003","k004","k005","k006","k007","k008","k009","k010","k011","k012","k013","k014","k015","k016","k017","k018","k019","k020","k021","k022","k023","k024","k025","k026","k027","k028","k029","k030","k031","k032","k033","k034","k035","k036","k037","k038","k039","k040","k041","k042","k043","k044","k045","k046","k047","k048","k049","k050","k051","k052","k053","k054","k055","k056","k057","k058","k059","k060"
"E14000607",94971,40515,42086,42103,78803,70672,70672,46560,78077,91724,5357,9748,25207,25918,16503,768,13767.0611915,737,24674,40062,8473,87274,1693,1721,770,91,1839,919,664,87347,1272,1224,678,8290,3992,317,15458,14550,6934,5071,29908,4239,5907,1725,32565.65705584,10538,24810,9634,23864,6242,13863,5768,32090,6589,2585,13244,33316,77,3516,5098,759,7941,2007,1887,4462,1656,1813,3083,6401,5895
"E14000608",97184,38845,40528,40534,78377,70700,70700,49922,76433,94219,5191,12248,22278,29914,16355,757,4745.4506409,2304,19939,44847,8306,92997,1402,476,358,84,782,812,273,90715,1361,603,193,8578,3690,79,18027,13087,6710,2545,29664,4356,4193,1223,24303.87660273,9948,25149,9552,28016,4998,21942,3925,36526,4256,1659,14327,35595,1011,3972,4117,449,7736,1709,1814,7737,2755,2348,2830,5897,4807
"E14000609",87059,37550,39939,39964,69915,63376,63376,38133,68995,83508,5847,10207,22730,23027,13477,657,17032.7682661,942,23371,31442,9635,76054,976,321,5924,2425,908,211,240,80822,589,580,1474,6167,3917,8,5203,11144,20009,3505,24487,5281,7267,1916,37417.06731839,9855,24372,8606,13092,4276,9199,3832,27831,5212,3342,11600,26533,92,2841,6821,380,6386,1445,1842,2077,1491,1759,2043,3252,6000
"E14000610",102731,42692,44373,44398,82883,75167,75167,49616,80968,98704,6547,11947,27887,26756,16024,669,13492.7608511,1977,26176,40620,10044,92105,1522,894,5556,157,1127,1000,370,93625,694,3269,1955,8108,4096,7,12773,13894,11800,5790,29337,6130,6695,2336,32461.69901411,10238,28934,9662,18268,4739,14688,2573,36532,8316,2982,14098,35518,552,3963,8394,698,8829,3281,2673,3132,1164,2216,1959,4308,6219
"E14000611",87218,36815,38255,38266,70163,63853,63853,41421,69007,83952,5425,10542,23094,23474,13646,581,13128.5783415,1253,22324,33996,8824,76835,1442,432,6035,175,1178,703,418,80513,667,961,1216,6600,3750,18,7860,12773,12911,4708,26145,5236,4922,2039,29663.02234275,9257,24010,8685,18301,4415,12362,4290,30412,4957,2687,11752,29669,64,2927,4379,514,7055,2107,1849,3782,2213,1848,2639,4455,5839
"E14000612",97842,41298,43168,43174,77772,70834,70834,46615,76992,93748,6810,11927,26505,25510,14666,647,17008.0443106,782,26371,36345,9502,88197,1923,955,2967,136,1529,1190,945,90233,925,1345,928,6851,4427,6,6839,18166,11358,6795,28497,6467,5852,2121,34359.33397596,10697,27456,9532,19688,5051,12695,7047,33334,4151,3082,13220,33395,57,3384,3642,537,8267,2251,2186,4813,2993,2276,2649,5032,6486
"E14000613",113678,47932,49458,49512,93029,82545,82545,58707,90610,109550,6730,12584,29115,30252,20837,1136,10088.0820037,2466,26372,48825,11068,110007,1382,479,66,93,834,599,218,105870,1621,1526,476,10216,4198,6,18169,14673,10825,5667,33712,6639,6933,2169,32266.53536078,11547,32434,11728,24577,4478,20092,2437,42277,10427,2218,17486,41221,1014,4695,6369,782,10033,2724,2745,4720,2277,2468,5149,5072,7771
"E14000614",102961,45823,47642,47693,83945,76165,76165,51253,83203,99526,5829,11872,26244,30646,16423,798,11457.9107242,803,25917,40445,11457,99398,1287,314,979,103,404,338,138,99566,715,593,350,9466,3927,11,8607,12975,19450,6549,32228,5979,7022,2469,34368.60447893,11239,28259,10395,25135,4528,15618,5754,36875,5471,3132,14806,36447,272,4205,6640,567,7307,1648,2139,4452,4034,1898,2788,6266,6712
"E14000615",125226,50392,50739,51213,98576,94201,94201,59552,97187,118813,10289,14795,47408,25419,9361,388,64948.5430134,1419,51340,29651,13659,56154,8315,1503,704,1579,5742,46810,4419,76011,5570,3769,4408,5889,4082,453,1104,3458,9450,37145,14534,25515,9775,15292,31242.974626,9376,23457,10280,37069,12956,3253,37335,9650,10161,6683,16303,43249,37,2700,1083,264,6350,2513,5394,9790,3520,5303,3221,5910,8739
"E14000616",85436,36215,38632,38741,70424,62589,62589,38266,68543,82602,4795,9224,19858,23776,16685,721,7353.3693238,1886,20907,34634,9363,83966,671,166,22,73,300,118,120,82121,677,868,445,7315,3386,53,13836,9304,10922,4022,25681,4340,5709,2155,33727.10945443,10382,24880,9740,15653,4918,13837,1550,29586,4650,2124,13143,25123,806,3682,3447,595,6729,1371,2729,2340,1029,1788,2163,3752,5965
